Predicted_Time,Predicted_Scorer,Label_Time,Label_Scorer,Correct,Error_Type
00:01:11,2,00:01:09,2,1,
00:01:42,1,00:01:41,1,1,
00:02:16,1,00:02:15,1,1,
00:02:37,2,,,0,False_Trigger
00:03:00,2,,,0,False_Trigger
00:03:11,1,00:03:09,2,0,Wrong_Scorer
00:03:29,2,00:03:26,2,1,
00:03:48,2,00:03:48,2,1,
00:04:29,1,00:04:28,1,1,
00:04:54,2,00:04:52,2,1,
00:05:26,2,00:05:24,2,1,
00:05:47,2,00:05:46,2,1,
00:06:13,1,00:06:11,2,0,Wrong_Scorer
00:06:37,1,00:06:38,2,0,Wrong_Scorer
00:06:54,1,00:06:58,2,0,Wrong_Scorer
00:07:35,1,00:07:31,2,0,Wrong_Scorer
00:07:56,2,00:07:53,2,1,
00:08:15,2,,,0,False_Trigger
00:08:33,1,,,0,False_Trigger
00:08:47,1,00:08:44,1,1,
00:09:06,2,00:09:04,2,1,
00:09:44,1,00:09:42,1,1,
00:10:04,2,00:10:08,2,1,
00:10:59,2,00:10:59,2,1,
00:11:30,1,,,0,False_Trigger
00:11:43,2,,,0,False_Trigger
00:12:11,2,00:12:07,2,1,
00:12:43,2,,,0,False_Trigger
00:13:00,1,00:12:57,2,0,Wrong_Scorer
00:13:30,2,,,0,False_Trigger
00:14:11,2,,,0,False_Trigger
00:15:21,2,00:15:20,2,1,
00:15:41,1,00:15:44,2,0,Wrong_Scorer
00:15:57,2,,,0,False_Trigger
00:16:07,2,00:16:06,2,1,
00:16:19,2,00:16:18,2,1,
00:16:29,2,,,0,False_Trigger
00:16:39,1,00:16:38,1,1,
00:17:05,1,00:17:08,2,0,Wrong_Scorer
00:17:35,1,00:17:37,1,1,
00:17:52,1,,,0,False_Trigger
00:18:16,1,00:18:15,1,1,
00:18:50,2,00:18:52,2,1,
00:19:21,2,00:19:20,1,0,Wrong_Scorer
00:19:39,1,00:19:38,1,1,
00:20:10,1,00:20:09,1,1,
00:20:46,2,00:20:45,2,1,
00:21:06,1,00:21:05,2,0,Wrong_Scorer
00:21:22,2,00:21:26,2,1,
00:22:21,1,00:22:20,1,1,
00:22:47,2,00:22:46,2,1,
00:23:04,1,00:23:03,1,1,
00:23:22,2,00:23:22,2,1,
00:23:50,1,00:23:48,2,0,Wrong_Scorer
00:24:06,1,00:24:03,1,1,
00:24:16,2,00:24:18,2,1,
00:24:24,1,,,0,False_Trigger
00:24:50,2,00:24:47,2,1,
00:25:01,2,00:25:00,2,1,
00:25:13,2,00:25:12,2,1,
00:25:25,1,00:25:23,1,1,
00:25:36,1,00:25:35,1,1,
00:26:02,2,00:26:01,2,1,
00:26:14,1,00:26:12,1,1,
00:28:39,2,00:28:38,2,1,
00:28:52,1,00:28:51,1,1,
00:29:17,1,00:29:16,1,1,
00:29:46,1,00:29:45,1,1,
00:29:54,2,,,0,False_Trigger
00:30:11,2,00:30:11,1,0,Wrong_Scorer
00:30:48,2,00:30:47,2,1,
00:31:11,2,00:31:11,2,1,
00:31:25,2,,,0,False_Trigger
00:31:36,2,00:31:35,2,1,
00:31:51,1,00:31:50,1,1,
00:32:12,2,00:32:11,2,1,
00:33:00,1,,,0,False_Trigger
00:33:08,1,00:33:06,1,1,
00:33:16,2,,,0,False_Trigger
00:33:24,2,00:33:22,2,1,
00:33:40,1,00:33:39,1,1,
00:34:02,2,00:34:01,2,1,
00:34:35,2,00:34:34,2,1,
00:34:51,2,00:34:51,2,1,
00:35:17,1,00:35:15,1,1,
00:35:38,2,00:35:37,2,1,
00:36:06,1,00:36:06,1,1,
00:36:21,2,00:36:20,2,1,
,,00:02:43,2,0,Missed_Score
,,00:09:25,2,0,Missed_Score
,,00:10:26,1,0,Missed_Score
,,00:11:17,1,0,Missed_Score
,,00:11:36,2,0,Missed_Score
,,00:12:19,2,0,Missed_Score
,,00:12:37,2,0,Missed_Score
,,00:14:54,2,0,Missed_Score
,,00:20:25,2,0,Missed_Score
,,00:23:36,2,0,Missed_Score
,,00:24:35,1,0,Missed_Score
,,00:25:49,2,0,Missed_Score
