Time,Frame,Score_1,Score_2,Scorer,Score_Flag
00:01:11,3585,0,1,2,0
00:01:42,5149,1,1,1,2
00:02:16,6841,2,1,1,5
00:02:44,8247,2,2,2,0
00:03:11,9593,2,3,2,3
00:03:27,10356,2,4,2,0
00:03:48,11440,2,5,2,0
00:04:29,13469,3,5,1,5
00:05:26,16342,3,6,2,3
00:05:47,17397,3,7,2,0
00:06:12,18646,3,8,2,4
00:06:39,19973,3,9,2,4
00:07:00,21000,3,10,2,3
00:07:32,22628,3,11,2,4
00:07:56,23802,3,12,2,0
00:08:47,26368,4,12,1,1
00:09:06,27307,4,13,2,4
00:09:43,29188,5,13,1,2
00:10:10,30522,5,14,2,4
00:11:01,33072,6,14,1,1
00:11:18,33910,7,14,1,5
00:11:37,34878,7,15,2,4
00:12:07,36354,7,16,2,0
00:12:39,37955,7,17,2,4
00:12:58,38947,7,18,2,4
00:14:56,44807,7,19,2,0
00:15:21,46070,7,20,2,0
00:15:45,47259,7,21,2,3
00:16:07,48377,7,22,2,4
00:16:19,48956,7,23,2,4
00:16:39,49960,8,23,1,1
00:17:09,51487,8,24,2,4
00:17:38,52940,9,24,1,1
00:18:16,54810,10,24,1,1
00:18:53,56672,10,25,2,3
00:19:21,58054,11,25,1,1
00:19:39,58980,12,25,1,5
00:20:10,60515,13,25,1,1
00:20:46,62319,13,26,2,3
00:21:06,63347,13,27,2,4
00:21:22,64114,14,27,1,2
00:21:30,64519,15,27,1,5
00:22:21,67063,16,27,1,1
00:22:47,68365,16,28,2,3
00:23:04,69224,17,28,1,1
00:23:22,70146,17,29,2,3
00:23:50,71523,17,30,2,3
00:24:05,72277,18,30,1,1
00:24:21,73067,18,31,2,3
00:25:01,75065,18,32,2,3
00:25:13,75667,18,33,2,3
00:25:25,76275,19,33,1,1
00:25:38,76909,20,33,1,1
00:25:51,77556,20,34,2,3
00:26:02,78117,20,35,2,4
00:26:14,78700,21,35,1,1
00:28:39,85996,21,36,2,3
00:28:52,86647,22,36,1,2
00:29:17,87860,23,36,1,2
00:29:46,89321,24,36,1,2
00:30:12,90623,25,36,1,2
00:30:48,92412,25,37,2,3
00:31:11,93591,25,38,2,3
00:31:36,94833,25,39,2,3
00:31:51,95558,26,39,1,2
00:32:12,96626,26,40,2,0
00:33:00,99033,27,40,1,1
00:33:08,99434,28,40,1,1
00:33:16,99839,29,40,1,1
00:33:24,100240,29,41,2,3
00:33:40,101023,30,41,1,2
00:34:02,102118,30,42,2,0
00:34:35,103775,30,43,2,3
00:34:52,104600,30,44,2,0
00:35:17,105862,31,44,1,1
00:35:38,106935,31,45,2,3
00:36:07,108358,32,45,1,5
00:36:21,109065,32,46,2,4
